xkb	xcb	windows
ESC	9	1
AE01	10	2
AE02	11	3
AE03	12	4
AE04	13	5
AE05	14	6
AE06	15	7
AE07	16	8
AE08	17	9
AE09	18	10
AE10	19	11
AE11	20	12
AE12	21	13
BKSP	22	14
TAB	23	15
AD01	24	16
AD02	25	17
AD03	26	18
AD04	27	19
AD05	28	20
AD06	29	21
AD07	30	22
AD08	31	23
AD09	32	24
AD10	33	25
AD11	34	26
AD12	35	27
RTRN	36	28
LCTL	37	29
AC01	38	30
AC02	39	31
AC03	40	32
AC04	41	33
AC05	42	34
AC06	43	35
AC07	44	36
AC08	45	37
AC09	46	38
AC10	47	39
AC11	48	40
TLDE	49	41
LFSH	50	42
BKSL	51	43
AB01	52	44
AB02	53	45
AB03	54	46
AB04	55	47
AB05	56	48
AB06	57	49
AB07	58	50
AB08	59	51
AB09	60	52
AB10	61	53
RTSH	62	54
KPMU	63	55
LALT	64	56
SPCE	65	57
CAPS	66	58
FK01	67	59
FK02	68	60
FK03	69	61
FK04	70	62
FK05	71	63
FK06	72	64
FK07	73	65
FK08	74	66
FK09	75	67
FK10	76	68
NMLK	77	69
SCLK	78	70
KP7	79	71
KP8	80	72
KP9	81	73
KPSU	82	74
KP4	83	75
KP5	84	76
KP6	85	77
KPAD	86	78
KP1	87	79
KP2	88	80
KP3	89	81
KP0	90	82
KPDL	91	83
LVL3	92	
LSGT	94	86
FK11	95	87
FK12	96	88
AB11	97	
KATA	98	112
HIRA	99	
HENK	100	
HKTG	101	
MUHE	102	
JPCM	103	
KPEN	104	284
RCTL	105	285
KPDV	106	309
PRSC	107	298
RALT	108	312
LNFD	109	
HOME	110	327
UP	111	328
PGUP	112	329
LEFT	113	331
RGHT	114	333
END	115	335
DOWN	116	336
PGDN	117	337
INS	118	338
DEL	119	339
I120	120	
MUTE	121	
VOL-	122	
VOL+	123	
POWR	124	350
KPEQ	125	
I126	126	
PAUS	127	541
I128	128	
I129	129	
HNGL	130	
HJCV	131	
AE13	132	
LWIN	133	347
RWIN	134	348
MENU	135	349
STOP	136	
AGAI	137	
PROP	138	
UNDO	139	
FRNT	140	
COPY	141	
OPEN	142	
PAST	143	
FIND	144	
CUT	145	
HELP	146	
I147	147	
I148	148	
I149	149	
I150	150	351
I151	151	355
I152	152	
I153	153	
I154	154	
I155	155	
I156	156	
I157	157	
I158	158	
I159	159	
I160	160	
I161	161	
I162	162	
I163	163	
I164	164	
I165	165	
I166	166	
I167	167	
I168	168	
I169	169	
I170	170	
I171	171	
I172	172	
I173	173	
I174	174	
I175	175	
I176	176	
I177	177	
I178	178	
I179	179	
I180	180	
I181	181	
I182	182	
I183	183	
I184	184	
I185	185	
I186	186	
I187	187	
I188	188	
I189	189	
I190	190	
FK13	191	
FK14	192	
FK15	193	
FK16	194	
FK17	195	
FK18	196	
FK19	197	
FK20	198	
FK21	199	
FK22	200	
FK23	201	
FK24	202	
MDSW	203	
ALT	204	
META	205	
SUPR	206	
HYPR	207	
I208	208	
I209	209	
I210	210	
I211	211	
I212	212	
I213	213	
I214	214	
I215	215	
I216	216	
I217	217	
I218	218	
I219	219	
I220	220	
I221	221	
I222	222	
I223	223	
I224	224	
I225	225	
I226	226	
I227	227	
I228	228	
I229	229	
I230	230	
I231	231	
I232	232	
I233	233	
I234	234	
I235	235	
I236	236	
I237	237	
I238	238	
I239	239	
I240	240	
I241	241	
I242	242	
I243	243	
I244	244	
I245	245	
I246	246	
I247	247	
I248	248	
I249	249	
I250	250	
I251	251	
I252	252	
I253	253	
